Course Title,Rating,Level,Duration,Schedule,Review,What you will learn,Skill gain,Modules,Instructor,Offered By,Keyword,Course Url
The Blues: Understanding and Performing an American Art Form,4.8,Beginner level,11,Flexible schedule,582,Students will be able to describe the blues as an important musical form. Students will be able to explain differences in jazz and other variations of the blues. ,"['Music', 'Chord', 'Jazz', 'Jazz Improvisation']","['Blues Progressions – Theory and Practice ', 'Blues Scales ', 'Keyboard Realization ', '“Bird” Blues and Other Blues Progressions', 'Improvisational Tools ', 'Improvising the Blues – Part 1 ', 'Improvising the Blues – Part 2']",['Dariusz Terefenko'],['University of Rochester'],Arts and Humanities,https://www.coursera.org/learn/the-blues
So You Think You Know Tango?,4.6,Beginner level,5,Flexible schedule,107,"Gain an appreciation for the Argentine Tango as a multidimensional art form, including music, dance, and poetry.List the components that make a tango.Eexplore the tango as a living art form today and how it can be used to cross cultural boundaries and stereotypes.",[],"['Module 1: The Many Dimensions of Tango and Tango Music', 'Module 2: Tango Words and Movements']",['Kristin Wendland'],['Emory University'],Arts and Humanities,https://www.coursera.org/learn/tango
Basic Elements of Design: Design Principles and Software Overview,4.7,Beginner level,10,Flexible schedule,925,"Recognize ways to work with graphic designers and other creative professionals. Understand the history and design process of the graphic design profession.Compare the concepts of balance, proximity, alignment, repetition, contrast and space.Discover the use of white space to develop shape, form, and structure in graphic projects.","['Print Design', 'online design', 'Color Theory', 'Graphic Design', 'textual elements']","['What is Graphic Design?', 'Elements of Design', 'Basic Concepts of Design']",['Lori Poole'],['University of Colorado Boulder'],Arts and Humanities,https://www.coursera.org/learn/basic-elements-design
Antisemitismo: Desde sus orígenes hasta el presente,4.9,Beginner level,21,Flexible schedule,15,A debatir qué es el antisemitismo y qué tiene de únicoA explicar las raíces históricas e ideológicas del antisemitismo y cómo se ha desarrollado ésteA debatir las características del antisemitismo en el presente díaA identificar el lenguaje y las acciones antisemitas en el pasado y en el presente,"['Holocaust', 'Middle East', 'Israel', 'defeatism']","['¿QUÉ ES EL ANTISEMITISMO? DEFINICIONES Y ORIGENES', 'LA CARA  CAMBIANTE DEL ANTISEMITISMO', 'ANTISEMITISMO GENOCIDA: DESDE LA PRIMERA GUERRA MUNDIAL AL HOLOCAUSTO', 'ANTISEMITISMO CONTEMPORÁNEO', 'EL MUNDO ISLÁMICO Y ÁRABE', 'ABORDANDO EL ANTISEMITISMO']","['Dafna Dolinko', 'Dr. Yossi Kugler', 'Dmitry Kolotilenko']",['Yad Vashem '],Arts and Humanities,https://www.coursera.org/learn/antisemitismo
"Health, Society, and Wellness in COVID-19 Times ",4.6,Beginner level,52,Flexible schedule,14,"You will explore perspectives on disease and society and on systemic racism and inequality with scholars across disciplines.You will explore the science and practice of individual and community wellness. You will learn skills relevant to emotions, relationships, common mental health concerns, and learning in the age of Zoom and remote classes. You will learn practices of cooperation, compassion, and anti-racism for community wellness.","['Education', 'COVID-19', 'health', 'Public Health', 'Health Care']","['An Orientation to Health, Society, and Wellness in COVID-19 Times', 'Mental Health and Well-Being in COVID-19 Times', 'The Public Health Response and Transmission of the COVID-19 Virus', 'Social Inequities and COVID-19']","['Daryl Maeda', 'Sona Dimidjian', 'Donna Mejia']",['University of Colorado Boulder'],Arts and Humanities,https://www.coursera.org/learn/health-society-and-wellness-in-covid-19-times
Graphic Design Specialization,4.7,Beginner level,80,Flexible schedule,16128,"Gain the fundamental skills needed to be a graphic designerCommunicate through image-making and typographyComplete a capstone project to add to your professional portfolioLearn everything you need to know to work in interface design, motion graphics, and editorial design","['Art History', 'Branding Communication', 'Visual Communication', 'Typography', 'Graphic Design']","['Fundamentals of Graphic Design', 'Introduction to Typography', 'Introduction to Imagemaking', 'Ideas from the History of Graphic Design', 'Brand New Brand']","['Gail Swanlund', 'Louise Sandhaus', 'Michael Worthington', 'Anther Kiley', 'Lorraine Wild']",['California Institute of the Arts'],Arts and Humanities,https://www.coursera.org/specializations/graphic-design
Modern and Contemporary Art and Design Specialization,4.8,Beginner level,80,Flexible schedule,2393,"Develop a deeper understanding of artists’ and designers’ processes, including modes of experimentation and responses to technological innovation.Develop critical thinking and looking skills to understand how artists and designers respond to the social and cultural issues of their time.Gain confidence in looking at and talking about modern and contemporary art and design, and find inspiration from art all around you.Better comprehend the choices you make about fashion with respect to expression, identity, and issues such as labor practices and sustainability.","['Design', 'Art', 'History', 'Photography', 'Museums']","['Modern Art & Ideas', 'Seeing Through Photographs', 'What Is Contemporary Art?', 'Fashion as Design']","['Anna Burckhardt', 'Sophie Cavoulacos', 'Sarah Meister', 'Paola Antonelli', 'Michelle Millar Fisher', 'Erica Papernik-Shimizu', 'Christian Rattemeyer', 'Lisa Mazzola', 'Arièle Dionne-Krosnick', 'Lucy Gallun', 'Sean Anderson', 'Stephanie Kramer']",['The Museum of Modern Art'],Arts and Humanities,https://www.coursera.org/specializations/modern-contemporary-art-design
Game Design: Art and Concepts Specialization,4.7,Beginner level,40,Flexible schedule,2491,Ways to create and describe a game conceptEvaluation and interpretion of different story styles Concepts and approaches involved in creating successful character designs,"['Interactive Storytelling', 'Game Design Document', 'Video Game Design', 'Game Design']","['Introduction to Game Design', 'Story and Narrative Development for Video Games', 'World Design for Video Games', 'Character Design for Video Games', 'Game Design Document: Define the Art & Concepts']","['Théotime Vaillant', 'Dariush Derakhshani', 'Fran Krause']",['California Institute of the Arts'],Arts and Humanities,https://www.coursera.org/specializations/game-design
The DIY Musician Specialization,4.7,Beginner level,40,Flexible schedule,443,"Tools and techniques to write more compelling songs.Develop your identity and vision as an artist.Use ProTools to record and produce your original music.Strategies to plan, launch, and manage a successful crowdfunding campaign.","['Social Media', 'Songwriting', 'Music production', 'Crowdfunding', 'Music recording']","['Songwriting: Writing the Lyrics', 'The Art of Music Production', 'Pro Tools Basics', 'Building Your Career in Music: Developing A Brand and Funding Your Music']","['Leah Waldo', 'Stephen Webber', 'Pat Pattison', 'Chrissy Tignor']",['Berklee'],Arts and Humanities,https://www.coursera.org/specializations/diy-musician
Music Production Specialization,4.8,Beginner level,40,Flexible schedule,1815,"Identify and use reference tracks to establish a vision for your productionUse the Production Check-List to run an efficient and well-organized recording sessionEdit your tracks while using your reference tracks and emotional and dynamic timelines to realize your vision for your productionEvaluate your mix by crtically listening to it on different sound systems (ear buds, in the car, sound system, computer, etc.)","['Audio Editing', 'Music', 'Sound Design', 'Audio Recording', 'Music production']","['The Art of Music Production', 'The Technology of Music Production', 'Pro Tools Basics', 'Music Production Capstone']","['Stephen Webber', 'Loudon Stearns', 'Chrissy Tignor']",['Berklee'],Arts and Humanities,https://www.coursera.org/specializations/music-production
